0	???	Unknown	0	0	0	0
1	17NetworksLHVisCentExStr1	17Networks_LH_VisCent_ExStr_1	120	18	134	255
2	17NetworksLHVisCentExStr2	17Networks_LH_VisCent_ExStr_2	120	18	136	255
3	17NetworksLHVisCentExStr3	17Networks_LH_VisCent_ExStr_3	120	18	137	255
4	17NetworksLHVisCentExStr4	17Networks_LH_VisCent_ExStr_4	120	18	138	255
5	17NetworksLHVisCentExStr5	17Networks_LH_VisCent_ExStr_5	120	18	139	255
6	17NetworksLHVisCentExStr6	17Networks_LH_VisCent_ExStr_6	120	18	140	255
7	17NetworksLHVisPeriExStrSup1	17Networks_LH_VisPeri_ExStrSup_1	255	1	1	255
8	17NetworksLHVisPeriExStrSup2	17Networks_LH_VisPeri_ExStrSup_2	255	1	2	255
9	17NetworksLHVisPeriExStrSup3	17Networks_LH_VisPeri_ExStrSup_3	255	1	3	255
10	17NetworksLHVisPeriExStrSup4	17Networks_LH_VisPeri_ExStrSup_4	255	1	4	255
11	17NetworksLHVisPeriExStrSup5	17Networks_LH_VisPeri_ExStrSup_5	255	1	5	255
12	17NetworksLHVisPeriExStrSup6	17Networks_LH_VisPeri_ExStrSup_6	255	1	6	255
13	17NetworksLHSomMotA1	17Networks_LH_SomMotA_1	70	130	178	255
14	17NetworksLHSomMotA2	17Networks_LH_SomMotA_2	70	130	179	255
15	17NetworksLHSomMotA3	17Networks_LH_SomMotA_3	70	130	181	255
16	17NetworksLHSomMotA4	17Networks_LH_SomMotA_4	70	130	182	255
17	17NetworksLHSomMotA5	17Networks_LH_SomMotA_5	70	130	183	255
18	17NetworksLHSomMotA6	17Networks_LH_SomMotA_6	70	130	184	255
19	17NetworksLHSomMotA7	17Networks_LH_SomMotA_7	70	130	185	255
20	17NetworksLHSomMotA8	17Networks_LH_SomMotA_8	70	130	186	255
21	17NetworksLHSomMotBAud1	17Networks_LH_SomMotB_Aud_1	43	204	162	255
22	17NetworksLHSomMotBAud2	17Networks_LH_SomMotB_Aud_2	43	204	163	255
23	17NetworksLHSomMotBAud3	17Networks_LH_SomMotB_Aud_3	43	204	165	255
24	17NetworksLHSomMotBAud4	17Networks_LH_SomMotB_Aud_4	43	204	166	255
25	17NetworksLHSomMotBAud5	17Networks_LH_SomMotB_Aud_5	43	204	167	255
26	17NetworksLHSomMotBAud6	17Networks_LH_SomMotB_Aud_6	43	204	168	255
27	17NetworksLHSomMotBAud7	17Networks_LH_SomMotB_Aud_7	43	204	169	255
28	17NetworksLHSomMotBAud8	17Networks_LH_SomMotB_Aud_8	43	204	170	255
29	17NetworksLHDorsAttnATempOcc1	17Networks_LH_DorsAttnA_TempOcc_1	74	155	61	255
30	17NetworksLHDorsAttnATempOcc2	17Networks_LH_DorsAttnA_TempOcc_2	74	155	62	255
31	17NetworksLHDorsAttnATempOcc3	17Networks_LH_DorsAttnA_TempOcc_3	74	155	63	255
32	17NetworksLHDorsAttnASPL1	17Networks_LH_DorsAttnA_SPL_1	74	156	61	255
33	17NetworksLHDorsAttnASPL2	17Networks_LH_DorsAttnA_SPL_2	74	156	62	255
34	17NetworksLHDorsAttnASPL3	17Networks_LH_DorsAttnA_SPL_3	74	156	63	255
35	17NetworksLHDorsAttnBPostC1	17Networks_LH_DorsAttnB_PostC_1	0	118	16	255
36	17NetworksLHDorsAttnBPostC2	17Networks_LH_DorsAttnB_PostC_2	0	118	17	255
37	17NetworksLHDorsAttnBPostC3	17Networks_LH_DorsAttnB_PostC_3	0	118	18	255
38	17NetworksLHDorsAttnBPostC4	17Networks_LH_DorsAttnB_PostC_4	0	118	19	255
39	17NetworksLHDorsAttnBFEF1	17Networks_LH_DorsAttnB_FEF_1	0	119	15	255
40	17NetworksLHSalVentAttnAParOper1	17Networks_LH_SalVentAttnA_ParOper_1	196	58	251	255
41	17NetworksLHSalVentAttnAIns1	17Networks_LH_SalVentAttnA_Ins_1	196	59	251	255
42	17NetworksLHSalVentAttnAIns2	17Networks_LH_SalVentAttnA_Ins_2	196	59	252	255
43	17NetworksLHSalVentAttnAIns3	17Networks_LH_SalVentAttnA_Ins_3	196	59	253	255
44	17NetworksLHSalVentAttnAParMed1	17Networks_LH_SalVentAttnA_ParMed_1	196	59	254	255
45	17NetworksLHSalVentAttnAFrMed1	17Networks_LH_SalVentAttnA_FrMed_1	197	58	251	255
46	17NetworksLHSalVentAttnAFrMed2	17Networks_LH_SalVentAttnA_FrMed_2	197	58	252	255
47	17NetworksLHSalVentAttnBIPL1	17Networks_LH_SalVentAttnB_IPL_1	255	152	214	255
48	17NetworksLHSalVentAttnBPFCl1	17Networks_LH_SalVentAttnB_PFCl_1	255	153	214	255
49	17NetworksLHSalVentAttnBPFCv1	17Networks_LH_SalVentAttnB_PFCv_1	255	153	215	255
50	17NetworksLHSalVentAttnBPFCmp1	17Networks_LH_SalVentAttnB_PFCmp_1	255	151	214	255
51	17NetworksLHLimbicOFC1	17Networks_LH_Limbic_OFC_1	122	135	51	255
52	17NetworksLHLimbicOFC2	17Networks_LH_Limbic_OFC_2	122	135	52	255
53	17NetworksLHLimbicTempPole1	17Networks_LH_Limbic_TempPole_1	220	248	165	255
54	17NetworksLHLimbicTempPole2	17Networks_LH_Limbic_TempPole_2	220	248	166	255
55	17NetworksLHLimbicTempPole3	17Networks_LH_Limbic_TempPole_3	220	248	167	255
56	17NetworksLHLimbicTempPole4	17Networks_LH_Limbic_TempPole_4	220	248	168	255
57	17NetworksLHContATemp1	17Networks_LH_ContA_Temp_1	230	148	35	255
58	17NetworksLHContAIPS1	17Networks_LH_ContA_IPS_1	230	148	36	255
59	17NetworksLHContAIPS2	17Networks_LH_ContA_IPS_2	230	148	37	255
60	17NetworksLHContAIPS3	17Networks_LH_ContA_IPS_3	230	148	38	255
61	17NetworksLHContAPFCd1	17Networks_LH_ContA_PFCd_1	230	149	35	255
62	17NetworksLHContAPFCl1	17Networks_LH_ContA_PFCl_1	230	149	36	255
63	17NetworksLHContAPFCl2	17Networks_LH_ContA_PFCl_2	230	149	37	255
64	17NetworksLHContAPFCl3	17Networks_LH_ContA_PFCl_3	230	149	38	255
65	17NetworksLHContAPFCl4	17Networks_LH_ContA_PFCl_4	230	149	39	255
66	17NetworksLHContACinga1	17Networks_LH_ContA_Cinga_1	231	148	36	255
67	17NetworksLHContBTemp1	17Networks_LH_ContB_Temp_1	135	50	75	255
68	17NetworksLHContBIPL1	17Networks_LH_ContB_IPL_1	135	50	76	255
69	17NetworksLHContBPFCl1	17Networks_LH_ContB_PFCl_1	135	51	76	255
70	17NetworksLHContBPFClv1	17Networks_LH_ContB_PFClv_1	136	50	75	255
71	17NetworksLHContBPFClv2	17Networks_LH_ContB_PFClv_2	136	50	76	255
72	17NetworksLHContCpCun1	17Networks_LH_ContC_pCun_1	119	140	177	255
73	17NetworksLHContCpCun2	17Networks_LH_ContC_pCun_2	119	140	178	255
74	17NetworksLHContCCingp1	17Networks_LH_ContC_Cingp_1	119	140	179	255
75	17NetworksLHDefaultAIPL1	17Networks_LH_DefaultA_IPL_1	255	255	1	255
76	17NetworksLHDefaultAPFCd1	17Networks_LH_DefaultA_PFCd_1	255	255	2	255
77	17NetworksLHDefaultAPCC1	17Networks_LH_DefaultA_PCC_1	255	254	1	255
78	17NetworksLHDefaultAPCC2	17Networks_LH_DefaultA_PCC_2	255	254	2	255
